OBJECTID,STATUT,MODE_POSE,AUT_PASSAG,AUT_PASS_1,NATURE_CON,TYPE_LONGU,LONGUEUR,NOTE,COMPOSITIO,ID_PROPRIE,INDEX_DOC_,ENABLED,ORIGINE,LABEL_CABL,NB_CABLE,ORANGE,CLASSE,LARGEUR,HAUTEUR,EXPLOITATI,MAINTENANC,GESTION,CONVENTION,REF_CONVEN,MODIF_DATE,MODIF_AUTE,MODIF_ETUD,METRIC,IS_ANTENNA,RECALAGE_D,SHAPE_LEN,latitude,longitude
7784259,E,0,0,,,D,40.78,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,40.7789744995,50.76594238562307,2.724123882208437
7784318,E,4,0,,,D,3.37,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,3.36735161847,50.76900048695198,2.726592751237506
7784319,E,4,0,,N,D,27.95,P/59535,,1,0,1,0,,3,1,B,0,0,0,0,0,0,,2021-04-14,WZQS5758NP,,0,0,,27.9465721032,50.76910808502814,2.7267075409528423
7784484,E,4,0,,N,D,35.39,P/59535,,1,0,1,1,,2,1,B,0,0,0,0,0,0,,2021-04-14,WZQS5758NP,,0,0,,35.3926314839,50.76613805117768,2.7293152009981623
7784496,E,3,0,,,D,9.21,P/59535,,1,0,1,0,,0,1,,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,9.20881764601,50.767855230756055,2.7312629830533375
7784580,E,4,0,,,D,0.46,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,0.464160985968,50.76921871639027,2.726798530839488
7784588,E,7,0,,,D,5.31,P/59535,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,5.30870186264,50.7698057547978,2.7276132642526347
7785914,E,7,0,,,D,119.57,P/59535,2Ø45,1,0,1,0,,0,1,B,0,0,0,0,0,0,,2021-04-08,WZQS5758NP,,0,0,,119.569904456,50.76778996252506,2.732261770911475
7791103,E,4,0,,,D,13.3,P/59470,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-14,WZQS5758NP,,0,0,,13.296869045,50.75686273962662,2.711537680462576
7791463,E,4,0,,,D,2.48,P/59535,,1,0,1,0,,1,1,B,0,0,0,0,0,0,,2021-04-07,WZQS5758NP,,0,0,,2.47241775702,50.775356048596464,2.7383030366094077
8242625,E,7,0,,,D,22.18,,2Ø45,1,0,1,0,,0,1,C,0,0,0,0,0,0,,2025-05-28,CWKB7174,,0,0,,22.162570427,50.78031148121676,2.7227795938571844
3180911,E,7,0,,A,D,9.88,02A9615D01FCC49E1C22F58B5C64B127,4 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,9.87546640051,50.76448235118722,2.7198411016646165
3181690,E,7,0,,A,D,26.43,02A96157775138021C22F5D81E6918C5,1 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,26.4276708804,50.75958173887385,2.7256001581805682
3181693,E,7,0,,A,D,39.22,02A96157775018331C22F5D83C691BB2,1 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,39.2195374211,50.759497894081434,2.7253142200875216
3181696,E,7,0,,A,D,29.96,02A9640C8F326D761C22F5D93369212E,1 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,29.9555488655,50.76849530620427,2.7399778787960525
3181697,E,7,0,,A,D,8.64,02A9640CB1E558E91C22F5D9546922C8,1 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,8.63751315945,50.769122358160125,2.74100825706527
3181699,E,7,0,,A,D,3.21,02A9640C8F688E0D1C22F5D9C7692987,1 Ø45,1,0,1,1,,0,1,B,0,0,0,0,0,0,,,,,0,0,,3.21044788528,50.76856938229412,2.74013079842696
