image_id,latitude_SIG,longitude_SIG,pano_lat,pano_lon,distance_m,bearing_deg,pitch_deg,fov,date,pano_id
1570,45.69783745474458,4.795207381375961,45.69792023811295,4.795178904699532,9.47,166.49,-14.79,45,2024-07,Lsqm0KHAy19vShlxzCzsow
1572,45.70062434242667,4.806712254481203,45.70054938334368,4.806788252509176,10.21,324.7,-13.75,35,2015-05,A09p4kOnaemP8ndiaq1PkQ
1574,45.70096726270792,4.803938477512381,45.70095403979153,4.803821239140354,9.22,80.83,-15.17,45,2024-08,6IqXaPPdSTkzQKKeP6TW_A
1577,45.700700660572,4.8066778543528486,45.70074801991657,4.806722465526676,6.3,213.34,-21.63,55,2008-11,SyCDw6DiNOxv6CbcnoVqWQ
1578,45.69965878075625,4.805016528828294,45.69971743290037,4.804943047608016,8.67,138.81,-16.09,45,2024-07,2vSWmR-_pMHHiej-T8ZSzQ
1580,45.70313905586433,4.808007098815287,45.70308052736765,4.807967138265135,7.21,25.49,-19.12,45,2015-05,ZGjJICP-XQ0rLbJbJWyI4A
1582,45.701834151869605,4.804653625095531,45.70194067633398,4.804720001517105,12.92,203.52,-10.95,35,2024-08,3NtBvT-h201817V2GAfKAA
1584,45.701122075151545,4.805968729906696,45.70118980495601,4.805938318357972,7.89,162.59,-17.58,45,2015-05,ZngHWjf__uQAqT3nSIZAXw
1586,45.70296277128921,4.805286760218705,45.70299204445458,4.805365489921146,6.93,241.97,-19.85,55,2024-08,qRIKi392UcGnWeFdCu1Vww
1587,45.70131300437794,4.803680794309855,45.7012736237677,4.803541938392125,11.64,67.9,-12.12,35,2024-08,Bzx1hNhdYLjg03eV8Ar75g
1589,45.698255659137565,4.799520392730283,45.69827350813438,4.799435754556422,6.87,106.8,-20.01,55,2024-07,gIzbLXO_2vd8tvMCEd6eRw
1590,45.69618830680048,4.804801459338687,45.69624076335005,4.804775323499755,6.18,160.81,-22.04,55,2024-06,Iz2F41ybWAkyTz158Voefw
1591,45.70155985523124,4.796073370884154,45.7015749827113,4.795944465393243,10.15,99.54,-13.84,35,2024-08,-0ihGp4ot4Aq77G9abDHXA
1593,45.69801059778947,4.808602127360135,45.6979681060621,4.808497654147981,9.39,59.79,-14.91,45,2024-07,_oYzYCtaxPQgr7cIYRog2Q
1594,45.70370202959103,4.797667360390917,45.70377454925842,4.797617718230526,8.94,154.45,-15.63,45,2015-05,PB0wdDv3nvDNbqMYokQWNg
1596,45.70073608474997,4.804143843826254,45.70072222035097,4.804042873127467,7.99,78.88,-17.37,45,2024-08,FF1JOYe4q0XSIb9r0TIF6A
1598,45.704079205026815,4.796872439468683,45.70405622786809,4.796956450470317,7.01,291.39,-19.64,45,2024-08,CgZYuboH0PoI4iUaZGxzOA
1600,45.70063115071881,4.8067222900483815,45.70066325499248,4.806844805119965,10.16,249.43,-13.82,35,2008-11,3l9fSSR_1sS4MPujj86Wqw
1603,45.69917375634368,4.807779313590343,45.69909072667146,4.807717996700469,10.39,27.28,-13.53,35,2024-08,vvRPSA2Ywc9X9SDkrmTAww
1605,45.702517997790295,4.800710357112307,45.70254741304716,4.800862788892657,12.28,254.55,-11.51,35,2015-05,MSc_7gVdlV0SkX_0F8wAaw
1606,45.69980692762937,4.804459655346655,45.69984670995154,4.804546771587754,8.08,236.82,-17.19,45,2024-07,Q4PZpjxDvD_EGTOWvwF7_A
1607,45.70161571298426,4.8037056429100025,45.70164992870781,4.803566665957774,11.44,109.42,-12.32,35,2024-08,QtO2MH4nJbXWKhv7iPB94Q
1608,45.69965013187228,4.805014314491214,45.69971743290037,4.804943047608016,9.31,143.51,-15.03,45,2024-07,2vSWmR-_pMHHiej-T8ZSzQ
1610,45.69620961089705,4.807132369646429,45.69618852744831,4.807210005508201,6.47,291.25,-21.13,55,2024-06,0QXCua36KujWFWPaSJATXg
1613,45.69916447636126,4.807657835147221,45.69909640315441,4.807591582400603,9.15,34.21,-15.28,45,2024-08,-8afDbc_zIpIMwQAcggVig
1614,45.69948157822365,4.799753979869668,45.69949111006285,4.799880452593306,9.88,263.84,-14.2,45,2024-06,Eq-tOVO_sbddU_OBy7CpUw
1617,45.700762754463405,4.806802452084954,45.70074801991657,4.806722465526676,6.42,75.22,-21.26,55,2008-11,SyCDw6DiNOxv6CbcnoVqWQ
1618,45.69932438131247,4.795024557501025,45.69929072542563,4.795115795558649,8.01,297.84,-17.33,45,2024-06,mQ8tnOjMg2N3vFjuwP-Qpw
1620,45.69645890696674,4.808837123861498,45.69635795024703,4.808864631288305,11.43,349.23,-12.34,35,2024-07,5c88SBEk_3Ly1OIjXh1pLg
1622,45.70470980850956,4.79852651009515,45.70469765417148,4.798407914075464,9.31,81.65,-15.03,45,2015-05,F6Aelhs071DP0S_RusLKYg
1623,45.70377932219501,4.80888124404732,45.70386665743936,4.808874632856826,9.72,176.97,-14.42,45,2008-11,5gdsHyJywl7cNkxHZL07gw
1624,45.70300055755687,4.800499179764552,45.7029838560343,4.800584642408072,6.89,285.63,-19.94,55,2015-05,wlqSVgUTlPppY-6J8LhLjw
1625,45.69794310925205,4.808421117095178,45.6979681060621,4.808497654147981,6.56,244.94,-20.86,55,2024-07,_oYzYCtaxPQgr7cIYRog2Q
1626,45.70027270882997,4.80596752276771,45.70019831734499,4.805994444958708,8.53,345.82,-16.33,45,2015-05,UHTnZo8YvXcLXQEj1-BjfQ
1629,45.70042178610812,4.806534118525487,45.70038746953832,4.806617556513271,7.52,300.49,-18.39,45,2015-05,wS1cmv4LRWH43em45VTINw
1632,45.70085870118184,4.80649659418623,45.70089632050986,4.806557496682553,6.31,228.51,-21.6,55,2008-11,1kDX7DaRUsXfHbMldcPQJA
1633,45.7006282075375,4.806723557642905,45.70054938334368,4.806788252509176,10.1,330.18,-13.9,35,2015-05,A09p4kOnaemP8ndiaq1PkQ
1635,45.7639730943683,4.959816972584836,45.76404738998045,4.959759975239423,9.37,151.84,-14.94,45,2023-01,31Gnks8IdjMJ2zQFer7pUQ
1637,45.70062232117483,4.806726092831544,45.70054938334368,4.806788252509176,9.44,329.24,-14.84,45,2015-05,A09p4kOnaemP8ndiaq1PkQ
1638,45.70062982818253,4.806710541649898,45.70054938334368,4.806788252509176,10.79,325.99,-13.04,35,2015-05,A09p4kOnaemP8ndiaq1PkQ
1642,45.70200206722885,4.803908828085973,45.70210053259013,4.803952602726372,11.46,197.25,-12.3,35,2024-08,Tsk5tQS767dlNHUfO1RBow
1643,45.70044246751253,4.80647166220627,45.70034604882002,4.806480196050607,10.74,356.46,-13.1,35,2015-05,CKWmHcSAFpkOhNR2G9cvZw
1644,45.6989391126498,4.807945260748992,45.69888432756182,4.807903141664547,6.91,28.23,-19.88,55,2024-07,8Xp2NLrA9_wmS5AC_kVfGA
